1,6,0.017,1,2.257,2.734,4,0.83,3.983
2,4,4.084,0, NaN,6.767,0,0.50,3.950
3,4,8.317,2,1.229,11.200,0,0.50,4.150
4,4,14.750,1,1.548,17.484,4,0.50,4.000
5,2,19.500,2,1.198,22.017,0,0.17,3.783
6,6,24.100,2,1.294,26.867,4,0.83,4.033
7,6,28.867,1,1.295,32.967,4,0.83,5.367
8,5,36.100,0, NaN,39.184,0,0.83,4.350
9,1,40.500,0, NaN,43.517,0,0.17,4.283
10,5,47.884,0, NaN,50.534,0,0.83,3.917
11,2,53.150,2,1.412,55.650,4,0.17,3.767
12,6,57.000,1,1.770,59.534,0,0.83,3.800
13,4,62.167,1,2.251,65.517,0,0.50,4.617
14,6,66.917,2,2.437,69.700,4,0.83,4.050
15,4,71.100,1,1.158,73.800,4,0.50,3.967
16,6,76.250,2,1.608,79.100,4,0.83,4.117
17,2,80.850,1,2.344,83.550,4,0.17,3.967
18,1,84.900,2,2.142,87.850,0,0.17,4.217
19,2,91.317,1,2.053,94.067,4,0.17,4.017
20,5,95.400,1,1.946,97.934,2,0.83,3.800
21,2,100.184,2,1.731,103.050,0,0.17,4.133
22,3,104.784,2,1.283,107.650,0,0.50,4.133
23,3,111.267,2,1.567,113.850,2,0.50,3.850
24,3,115.217,1,1.393,117.800,2,0.50,3.850
25,1,120.600,1,1.250,123.134,2,0.17,3.800
26,5,124.584,2,1.891,127.334,0,0.83,4.017
27,4,129.734,1,1.341,132.617,0,0.50,4.150
28,1,134.117,1,1.021,136.734,2,0.17,3.883
29,6,138.567,2,1.531,141.650,4,0.83,4.350
30,2,144.350,0, NaN,147.150,0,0.17,4.067
31,1,148.900,1,1.574,151.734,2,0.17,4.100
32,4,154.750,2,1.908,157.250,0,0.50,3.767
33,5,158.767,1,1.603,161.584,0,0.83,4.083
34,2,163.834,2,1.553,166.867,4,0.17,4.300
35,5,171.267,0, NaN,174.434,0,0.83,4.433
36,5,177.017,0, NaN,179.800,0,0.83,4.050
37,3,182.550,0, NaN,185.067,0,0.50,3.783
38,1,186.484,0, NaN,189.234,0,0.17,4.017
39,6,190.750,0, NaN,193.400,0,0.83,3.917
40,3,194.917,0, NaN,197.434,0,0.50,3.783
41,5,201.384,0, NaN,204.167,0,0.83,4.050
42,4,205.650,0, NaN,208.517,0,0.50,4.133
43,1,209.984,0, NaN,212.850,0,0.17,4.133
44,2,214.934,0, NaN,217.534,0,0.17,3.867
45,6,222.434,0, NaN,225.750,0,0.83,4.583
46,1,227.817,0, NaN,230.517,0,0.17,3.967
47,6,232.417,0, NaN,234.967,0,0.83,3.817
48,4,236.334,0, NaN,239.634,0,0.50,4.567
49,3,242.050,0, NaN,245.834,0,0.50,5.050
50,2,247.234,0, NaN,249.850,0,0.17,3.883
51,5,251.234,0, NaN,253.750,0,0.83,3.783
52,2,255.400,0, NaN,259.650,0,0.17,5.517
53,3,262.917,0, NaN,266.734,0,0.50,5.083
54,1,269.567,0, NaN,272.134,0,0.17,3.833
55,5,273.634,0, NaN,276.334,0,0.83,3.967
56,1,277.850,0, NaN,280.400,0,0.17,3.817
57,6,281.734,0, NaN,284.800,0,0.83,4.333
58,5,287.100,0, NaN,290.317,0,0.83,4.483
59,3,292.450,0, NaN,296.034,0,0.50,4.850
60,3,297.600,0, NaN,300.184,0,0.50,3.850
61,3,301.850,0, NaN,304.367,0,0.50,3.783
62,2,306.050,0, NaN,308.917,0,0.17,4.133
63,3,310.600,0, NaN,313.484,0,0.50,4.150
64,4,315.784,0, NaN,318.634,0,0.50,4.117
65,3,321.000,0, NaN,323.917,0,0.50,4.183
66,1,326.184,0, NaN,329.467,0,0.17,4.550
67,6,330.817,0, NaN,334.534,0,0.83,4.983
68,1,336.350,0, NaN,339.134,0,0.17,4.050
69,4,341.900,0, NaN,344.417,0,0.50,3.783
70,2,346.134,0, NaN,348.784,0,0.17,3.917
71,4,350.284,0, NaN,353.700,0,0.50,4.683
72,5,355.534,0, NaN,358.667,0,0.83,4.400
