1,1,3.692,1.045,1,0,1,hot
2,1,8.424,0.880,1,0,2,flirty
3,2,13.626,1.095,1,1,2,depressed
4,2,18.476,0.877,2,1,2,grumpy
5,3,26.503,1.930,1,0,2,charming
6,4,31.537,0.832,1,0,2,giving
7,4,35.818,1.879,1,0,1,smart
8,4,40.116,1.316,1,0,2,helpful
9,2,48.629,0.884,1,0,4,motivated
10,2,53.345,1.080,1,0,3,confident
11,1,57.944,0.857,2,0,2,trendy
12,1,62.092,1.997,2,0,3,admired
13,4,93.282,1.151,1,0,3,trustworthy
14,3,97.396,1.405,1,1,2,boring
15,3,101.627,2.598,2,0,2,attractive
16,3,105.992,2.233,1,1,2,loner
17,1,114.956,1.285,1,0,2,sexy
18,1,119.204,0.717,1,0,1,cool
19,2,123.853,1.044,2,1,2,angry
20,2,128.619,1.397,1,1,2,stubborn
21,3,137.316,2.533,1,1,1,lame
22,4,142.433,0.847,1,1,2,selfish
23,4,147.300,1.461,1,0,2,patient
24,4,152.518,1.339,1,1,1,rude
25,2,182.621,1.675,1,1,2,lazy
26,2,187.622,0.803,1,0,4,independent
27,1,192.873,1.088,1,0,3,outgoing
28,1,197.372,1.029,2,0,2,snobby
29,4,205.416,1.121,1,0,1,calm
30,3,210.483,0.733,1,1,2,wealthy
31,3,215.434,0.887,1,1,2,creepy
32,3,220.233,0.815,1,0,2,withdrawn
33,1,228.411,0.757,1,0,4,adventurous
34,1,232.877,1.964,2,1,2,ugly
35,2,238.178,0.774,1,0,2,loyal
36,2,243.162,0.831,1,0,2,caring
37,4,274.001,1.120,1,0,3,respectful
38,4,278.199,0.746,1,0,2,friendly
39,4,282.714,1.207,1,1,1,mean
40,3,287.648,1.201,1,0,3,insecure
41,2,295.893,0.828,1,0,2,thoughtful
42,2,300.224,1.433,1,1,3,dishonest
43,1,304.606,1.299,1,1,1,shy
44,1,309.891,1.294,2,0,3,popular
45,3,318.202,2.070,1,1,2,awkward
46,3,323.537,0.735,1,0,2,social
47,3,328.120, NaN,0,1,2,loser
48,4,333.271,0.338,1,1,4,unethical
