1,5,0.000,3.031,2
2,2,5.395,7.928,1
3,3,10.949,13.534,1
4,4,15.340,18.081,2
5,5,20.288,22.886,1
6,6,24.364,26.962,1
7,2,29.321,32.168,1
8,3,33.533,36.034,2
9,3,38.741,42.041,1
10,6,44.201,46.883,2
11,6,49.406,52.847,2
12,3,55.085,58.266,2
13,6,61.624,64.545,1
14,4,65.894,68.478,2
15,6,71.885,74.868,2
16,1,77.484,80.088,1
17,4,81.612,84.883,1
18,6,86.480,89.411,2
19,1,93.366,96.409,1
20,2,98.056,100.589,1
21,3,102.111,104.674,2
22,3,106.052,108.816,1
23,3,110.360,112.910,1
24,5,115.025,119.694,2
25,3,122.743,125.947,2
26,1,128.754,131.631,1
27,4,133.025,135.525,1
28,2,136.920,139.926,2
29,2,142.383,145.023,1
30,4,146.668,149.413,2
31,5,150.863,153.559,2
32,2,155.057,157.569,1
33,5,158.956,161.995,2
34,1,163.733,166.326,1
35,6,168.274,170.889,2
36,6,173.718,176.278,2
37,1,177.880,180.839,1
38,5,182.195,185.456,2
39,1,187.623,191.117,1
40,3,192.960,197.101,1
41,3,199.240,202.915,2
42,5,204.357,207.811,2
43,6,209.781,212.330,2
44,4,215.009,217.580,1
45,4,219.201,221.961,1
46,2,224.127,227.052,1
47,2,229.188,231.741,1
48,4,233.281,235.912,1
49,2,237.506,240.377,1
50,1,243.955,246.613,1
51,5,247.974,251.249,1
52,1,253.111,255.646,2
53,4,258.244,261.067,2
54,5,264.196,266.813,2
55,2,268.175,271.068,2
56,1,272.406,277.210,1
57,2,278.724,281.794,1
58,6,283.252,285.993,2
59,3,287.771,292.778,2
60,1,294.315,297.438,1
61,2,299.816,302.336,1
62,1,304.073,306.702,1
63,4,308.069,311.039,1
64,4,312.658,315.413,2
65,6,317.512,320.266,2
66,4,322.117,324.787,2
67,5,328.879,331.745,2
68,1,333.185,336.005,2
69,5,339.651,343.771,2
70,6,345.336,347.908,2
71,3,349.517,352.420,1
72,5,355.444,358.298,2
