1,1,4,3,4.350000e-01,8.375000e-01,73.000,32.000,never sit up straight
2,2,3,4,4.080000e-01,7.700000e-01,73.000,32.000,like to chew my pencil
3,3,2,2,3.180000e-01,5.450000e-01,73.000,32.000,make my own lunch
4,4,4,3,4.260000e-01,8.150000e-01,73.000,32.000,hate being sick
5,5,3,4,3.990000e-01,7.475000e-01,73.000,32.000,can keep a secret
6,6,2,2,5.250000e-01,1.062500e+00,73.000,32.000,floss every day
7,4,3,2,6.240000e-01,1.310000e+00,73.000,32.000,hate earmuffs
8,2,2,3,6.780000e-01,1.445000e+00,73.000,32.000,like wearing hoodies
9,3,2,2,6.330000e-01,1.332500e+00,73.000,32.000,love scary movies
10,1,3,2,3.810000e-01,7.025000e-01,73.000,32.000,like televised sports
11,5,2,3,5.520000e-01,1.130000e+00,73.000,32.000,drink a lot of coffee
12,6,2,2,6.150000e-01,1.287500e+00,73.000,32.000,am a good dancer
13,1,4,2,4.530000e-01,8.825000e-01,73.000,32.000,like free stuff
14,5,2,4,5.070000e-01,1.017500e+00,73.000,32.000,always stay up late
15,1,3,2,4.980000e-01,9.950000e-01,73.000,32.000,like to watch cartoons
16,4,4,2,5.610000e-01,1.152500e+00,73.000,32.000,daydream in class
17,6,4,4,4.440000e-01,8.600000e-01,73.000,32.000,hate to be tickled
18,2,2,4,6.420000e-01,1.355000e+00,73.000,32.000,want super powers
19,1,4,2,3.900000e-01,7.250000e-01,73.000,32.000,like people who litter
20,6,2,2,4.890000e-01,9.725000e-01,73.000,32.000,always watch the news
21,2,2,3,4.620000e-01,9.050000e-01,73.000,32.000,think eggs are nasty
22,3,4,4,3.540000e-01,6.350000e-01,73.000,32.000,am afraid of ghosts
23,4,3,2,6.600000e-01,1.400000e+00,73.000,32.000,hate skinny jeans
24,2,2,4,5.340000e-01,1.085000e+00,73.000,32.000,rarely get headaches
25,5,2,3,3.450000e-01,6.125000e-01,73.000,32.000,eat potatoes
26,6,3,3,6.690000e-01,1.422500e+00,73.000,32.000,hate chicken soup
27,3,2,2,3.630000e-01,6.575000e-01,73.000,32.000,like to sleep in late
28,5,2,4,5.160000e-01,1.040000e+00,73.000,32.000,check Facebook often
29,2,2,4,6.060000e-01,1.265000e+00,73.000,32.000,like to read books
30,4,4,2,6.510000e-01,1.377500e+00,73.000,32.000,carry a water bottle
31,3,3,3,3.090000e-01,5.225000e-01,73.000,32.000,want super powers
32,6,3,3,6.960000e-01,1.490000e+00,73.000,32.000,hate squeaky shoes
33,4,4,2,5.880000e-01,1.220000e+00,73.000,32.000,hate spicy mustard
34,1,4,2,4.710000e-01,9.275000e-01,73.000,32.000,usually skip breakfast
35,3,3,3,5.790000e-01,1.197500e+00,73.000,32.000,never make my bed
36,2,2,4,4.800000e-01,9.500000e-01,73.000,32.000,think tattoos are cool
37,5,2,4,4.170000e-01,7.925000e-01,73.000,32.000,hate being late
38,4,4,2,3.270000e-01,5.675000e-01,73.000,32.000,hate sour pickles
39,1,4,2,3.720000e-01,6.800000e-01,73.000,32.000,shower in the morning
40,6,3,3,3.360000e-01,5.900000e-01,73.000,32.000,hate licking envelopes
41,5,2,4,5.970000e-01,9.242500e+00,73.000,32.000,do not eat meat
