1,1
2,1
4,1
5,1
10,1
11,1
12,2
13,1
14,1
15,1
16,1
18,1
19,1
20,1
22,1
23,1
26,1
27,1
29,1
30,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
40,1
41,1
42,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
62,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,2
75,1
76,1
78,1
80,2
84,1
85,1
86,1
88,1
89,1
90,1
91,2
94,1
99,1
100,1
101,2
102,1
103,2
104,1
105,1
107,2
109,1
110,2
111,1
112,2
113,2
114,1
119,1
130,1
131,2
132,2
137,1
138,1
140,1
141,1
143,1
144,1
145,2
149,1
152,2
159,1
160,1
164,1
167,1
169,1
173,2
174,1
176,2
181,1
186,2
188,2
192,2
194,2
202,2
207,2
208,2
209,2
211,2
999,1
998,2
