1,6,0.000,2.677,1
2,4,4.073,6.757,2
3,4,8.307,11.184,1
4,4,14.742,17.476,1
5,2,19.497,22.003,1
6,6,24.090,26.856,2
7,6,28.857,32.948,1
8,5,36.086,39.168,2
9,1,40.491,43.507,2
10,5,47.865,50.526,2
11,2,53.131,55.644,2
12,6,56.987,59.528,2
13,4,62.162,65.507,2
14,6,66.911,69.491,2
15,4,71.089,73.787,1
16,6,76.240,79.097,2
17,2,80.839,83.492,1
18,1,84.881,87.840,1
19,2,91.300,94.057,1
20,5,95.395,97.927,1
21,2,100.165,103.037,1
22,3,104.765,107.642,1
23,3,111.249,113.842,2
24,3,115.213,117.790,1
25,1,120.595,123.115,1
26,5,124.566,127.322,1
27,4,129.720,132.606,2
28,1,134.108,136.719,1
29,6,138.563,141.632,2
30,2,144.336,147.144,1
31,1,148.882,151.715,1
32,4,154.742,157.246,1
33,5,158.753,161.580,2
34,2,163.823,166.853,2
35,5,171.256,174.428,2
36,5,177.005,179.785,2
37,3,182.545,185.049,2
38,1,186.465,189.219,1
39,6,190.736,193.392,2
40,3,194.903,197.427,1
41,5,201.368,204.163,2
42,4,205.634,208.505,2
43,1,209.964,212.844,1
44,2,214.924,217.522,1
45,6,222.430,225.741,2
46,1,227.805,230.502,1
47,6,232.401,234.950,2
48,4,236.317,239.620,2
49,3,242.041,245.822,1
50,2,247.223,249.833,1
51,5,251.228,253.740,2
52,2,255.383,259.640,1
53,3,262.911,266.724,1
54,1,269.560,272.127,1
55,5,273.628,276.330,2
56,1,277.839,280.381,2
57,6,281.730,284.787,2
58,5,287.086,290.313,2
59,3,292.436,296.027,2
60,3,297.584,300.171,1
61,3,301.844,304.352,2
62,2,306.032,308.903,1
63,3,310.583,313.478,2
64,4,315.764,318.629,2
65,3,320.986,323.900,2
66,1,326.176,329.450,1
67,6,330.806,334.514,2
68,1,336.337,339.123,1
69,4,341.893,344.402,1
70,2,346.127,348.771,1
71,4,350.272,353.681,1
72,5,355.517,358.659,2
