Started: 18-Nov-2014 12:09
1	4.285	0.022			5	1	0.8	10	0.00
2	3.784	5.405	53	0.936	2	0	0.2	50	0.00
3	3.834	10.955	54	0.414	3	0	0.5	10	0.00
4	3.984	15.355	54	0.790	4	1	0.5	50	50.00
Started: 19-Nov-2014 16:32
Started: 19-Nov-2014 16:33
1	4.285	0.012	54	1.409	5	1	0.8	10	10.00
2	3.784	5.412	55	0.950	2	0	0.2	50	50.00
3	3.834	10.962	55	1.287	3	0	0.5	10	10.00
4	4.001	15.345	54	1.088	4	1	0.5	50	50.00
5	3.851	20.295	54	1.676	5	0	0.8	10	0.00
6	3.851	24.378	55	2.286	6	0	0.8	50	50.00
7	4.101	29.328			2	0	0.2	50	0.00
8	3.751	33.545	55	0.001	3	1	0.5	10	0.00
9	4.550	38.745	54	2.775	3	0	0.5	10	0.00
10	3.934	44.211	54	1.213	6	1	0.8	50	50.00
11	4.701	49.411	54	1.045	6	1	0.8	50	50.00
12	4.434	55.094	55	1.514	3	1	0.5	10	0.00
13	4.184	61.628	54	1.117	6	0	0.8	50	0.00
14	3.834	65.911	54	0.937	4	1	0.5	50	50.00
15	4.234	71.894	54	1.163	6	1	0.8	50	50.00
16	3.851	77.494	55	0.995	1	0	0.2	10	10.00
17	4.518	81.627	55	1.540	4	0	0.5	50	50.00
18	4.184	86.494	54	0.858	6	1	0.8	50	50.00
19	4.301	93.377	55	0.750	1	0	0.2	10	10.00
20	3.784	98.060	55	1.723	2	0	0.2	50	50.00
21	3.801	102.126	55	0.945	3	1	0.5	10	0.00
22	4.018	106.060	54	2.652	3	0	0.5	10	0.00
23	3.801	110.376	54	0.774	3	0	0.5	10	0.00
24	5.918	115.043	55	1.372	5	1	0.8	10	0.00
25	4.451	122.759	55	2.200	3	1	0.5	10	0.00
26	4.134	128.759	55	1.136	1	0	0.2	10	10.00
27	3.750	133.042	55	1.229	4	0	0.5	50	50.00
28	4.267	136.926	54	1.721	2	1	0.2	50	50.00
29	3.884	142.392	54	0.790	2	0	0.2	50	0.00
30	4.001	146.675	55	1.244	4	1	0.5	50	0.00
31	3.951	150.875	55	0.962	5	1	0.8	10	0.00
32	3.768	155.058	54	1.291	2	0	0.2	50	0.00
33	4.301	158.958	54	1.408	5	1	0.8	10	10.00
34	3.851	163.742	54	1.280	1	0	0.2	10	0.00
35	3.867	168.292	55	1.410	6	1	0.8	50	0.00
36	3.818	173.725	54	0.801	6	1	0.8	50	50.00
37	4.218	177.891	54	1.025	1	0	0.2	10	0.00
38	4.518	182.208	54	0.901	5	1	0.8	10	10.00
39	4.734	187.641	54	0.916	1	0	0.2	10	0.00
40	5.384	192.974	54	0.799	3	0	0.5	10	0.00
41	4.918	199.257	55	0.540	3	1	0.5	10	0.00
42	4.701	204.374	54	1.271	5	1	0.8	10	10.00
43	3.801	209.790	55	1.111	6	1	0.8	50	0.00
44	3.818	215.024	54	1.525	4	0	0.5	50	0.00
45	4.018	219.207	55	2.221	4	0	0.5	50	50.00
46	4.167	224.140	54	1.456	2	0	0.2	50	0.00
47	3.818	229.190	55	1.333	2	0	0.2	50	50.00
48	3.885	233.290	55	0.914	4	0	0.5	50	50.00
49	4.118	237.523	55	0.922	2	0	0.2	50	50.00
50	3.917	243.956	55	0.985	1	0	0.2	10	10.00
51	4.518	247.989	55	2.310	5	0	0.8	10	10.00
52	3.784	253.123	55	0.776	1	1	0.2	10	0.00
53	4.068	258.256	54	1.324	4	1	0.5	50	50.00
54	3.867	264.206	54	0.917	5	1	0.8	10	10.00
55	4.134	268.189			2	1	0.2	50	0.00
56	6.051	272.422	55	2.372	1	0	0.2	10	10.00
57	4.318	278.739	55	2.527	2	0	0.2	50	50.00
58	4.001	283.255	54	0.955	6	1	0.8	50	50.00
59	6.251	287.789	55	1.295	3	1	0.5	10	0.00
60	4.384	294.322	54	0.593	1	0	0.2	10	0.00
61	3.768	299.821	54	0.670	2	0	0.2	50	0.00
62	3.868	304.088	54	0.897	1	0	0.2	10	0.00
63	4.234	308.071	55	1.706	4	0	0.5	50	50.00
64	4.001	312.671	55	0.818	4	1	0.5	50	0.00
65	4.001	317.521	54	1.809	6	1	0.8	50	50.00
66	3.934	322.121	55	2.265	4	1	0.5	50	0.00
67	4.118	328.888			5	1	0.8	10	0.00
68	4.084	333.187	55	1.493	1	1	0.2	10	0.00
69	5.384	339.654	54	1.195	5	1	0.8	10	10.00
70	3.817	345.354			6	1	0.8	50	0.00
71	4.168	349.520	55	0.946	3	0	0.5	10	10.00
72	4.101	355.453	55	1.147	5	1	0.8	10	0.00
