36.1057	1.2651	-0.3718
40.5057	1.6091	-0.3718
47.8723	1.4265	0.2282
84.8890	0.5298	0.2282
95.4057	1.8371	-0.3718
120.6057	1.3971	0.8282
124.5723	1.5185	0.5882
134.1223	1.0084	-0.1318
148.8890	1.0338	-0.2278
158.7723	0.8544	-0.3718
171.2723	0.8585	0.4442
177.0224	1.0844	0.7706
186.4723	0.7225	-0.0742
201.3889	0.9899	-0.0454
209.9724	0.9184	-0.0128
227.8223	0.6604	0.0118
251.2390	0.9238	-0.3718
269.5723	0.8945	0.0216
273.6390	1.3478	-0.2413
277.8557	0.8351	0.0255
287.1057	1.1531	-0.3718
326.1890	0.8378	0.4292
336.3557	0.6231	-0.2914
355.5224	1.5684	-0.3196
