37.0887	2.0858	0.3060
41.2727	2.2518	0.0380
48.6487	1.8925	0.3110
85.5927	2.2651	-0.7537
96.1767	1.7645	0.3137
121.3527	1.7718	-0.2613
125.5287	1.8125	-0.6049
134.8006	1.9238	0.0047
149.6647	2.0598	0.1483
160.2247	1.3665	-0.6832
172.0567	2.3845	-0.4487
177.8887	1.9025	-0.0966
187.4407	1.7838	0.2258
202.1607	2.0137	0.0936
211.1527	1.7050	0.2677
228.4887	2.0191	0.2903
251.9687	1.7891	0.1963
270.1927	1.9485	0.3025
274.4247	1.9165	0.2517
279.0887	1.3025	0.3091
288.0807	2.2438	0.2817
327.2647	2.1931	-0.6074
337.1847	1.9564	-0.1822
356.9207	1.7538	0.2978
