6.0848	1.8469	0.0670
25.5968	1.3836	0.3240
30.0688	2.1128	0.1885
45.1088	1.7897	-0.4574
50.0368	2.8156	-0.1262
62.3088	2.2504	0.0726
72.7008	2.1771	-0.6082
87.0768	2.3509	-0.2167
99.0288	1.5704	0.2613
137.7408	2.1933	0.3051
143.1088	1.9260	-0.4687
155.9408	1.6370	-0.4687
169.0128	1.8940	0.0182
174.4448	1.8470	0.1592
210.6288	1.7200	0.2438
225.8608	1.2050	-0.1330
229.9648	1.7838	0.0685
238.3168	2.0781	0.1893
269.0048	2.0785	0.2619
279.5808	2.2226	-0.4946
284.0528	1.9483	0.2945
300.5168	1.8403	-0.1485
318.1008	2.1844	0.3250
346.2528	1.6604	0.3432
