5.9373	1.9980	-0.0437
25.0013	1.9674	0.2769
30.4333	1.7520	0.2447
44.9293	1.9727	0.2769
50.0333	2.8187	0.2769
62.5533	1.9987	0.3729
72.9373	1.9480	-0.7887
87.4013	2.0173	-0.0533
98.8813	1.7206	0.3600
137.8173	2.1180	0.4062
142.9213	2.1140	-0.7754
155.4093	2.1760	-0.7754
168.9293	1.9727	-0.0533
174.2093	2.0760	-0.0533
210.3853	1.9500	0.2408
225.0573	2.0114	-0.7754
229.8573	1.8947	-0.7754
237.9533	2.4320	-0.0480
269.1613	1.9240	0.2429
279.5053	2.2966	0.2429
283.9933	2.0086	0.2408
300.4493	1.9027	0.2429
318.2173	2.0680	0.3585
345.9853	1.9334	0.3585
