5.4073	0.7798	-0.5531
24.3724	1.6788	-0.5531
29.3394	1.0557	-0.1131
44.2070	1.4041	-0.1131
49.4249	0.8263	-0.3595
61.6333	1.0179	-0.0047
71.9019	0.8293	-0.4202
86.4851	0.7901	-0.1875
98.0749	0.9762	0.1333
136.9247	0.7905	0.2713
142.3934	0.9778	-0.5314
155.0702	1.0530	-0.1010
168.2820	0.6892	0.0916
173.7341	1.0131	0.2480
209.7910	0.7722	0.3355
224.1400	0.6872	0.1401
229.2075	1.1557	0.2751
237.5193	0.8439	0.3507
268.1910	1.1722	0.3930
278.7269	1.9563	-0.4633
283.2592	1.2559	0.3845
299.8326	0.9305	-0.0628
317.5267	1.0205	0.4120
345.3554	0.6638	0.4274
