5.4035	0.8357	-0.4080
24.3686	1.0386	-0.4080
29.3356	1.1677	-0.0080
44.2199	1.3793	-0.0080
49.4209	1.6023	0.3920
61.6295	1.8097	-0.1680
71.8980	1.2612	0.2960
86.4980	1.5972	-0.2256
98.0710	1.0002	0.2320
136.9375	0.9577	0.3760
142.3896	1.5296	-0.3376
155.0663	0.8609	0.0342
168.2782	1.1690	0.0144
173.7301	1.3971	-0.2986
209.7871	1.3881	-0.1546
224.1362	0.8310	0.2573
229.2036	1.0356	0.3912
237.5154	0.9718	0.4715
268.1871	0.7881	0.5197
278.7400	0.7632	-0.2514
283.2553	0.9119	-0.3424
299.8289	0.7703	0.0860
317.5228	1.3164	-0.2560
345.3515	0.9677	-0.2041
